dteday,cnt,registered,casual,Recency,Frequency,Monetary
2012-08-24,7582,6257,1325,129,7582,7582
2012-08-25,6053,4224,1829,128,6053,6053
2012-08-26,5255,3772,1483,127,5255,5255
2012-08-27,6917,5928,989,126,6917,6917
2012-08-28,7040,6105,935,125,7040,7040
2012-08-29,7697,6520,1177,124,7697,7697
2012-08-30,7713,6541,1172,123,7713,7713
2012-08-31,7350,5917,1433,122,7350,7350
2012-09-01,6140,3788,2352,121,6140,6140
2012-09-02,5810,3197,2613,120,5810,5810
2012-09-03,6034,4069,1965,119,6034,6034
2012-09-04,6864,5997,867,118,6864,6864
2012-09-05,7112,6280,832,117,7112,7112
2012-09-06,6203,5592,611,116,6203,6203
2012-09-07,7504,6459,1045,115,7504,7504
2012-09-08,5976,4419,1557,114,5976,5976
2012-09-09,8227,5657,2570,113,8227,8227
2012-09-10,7525,6407,1118,112,7525,7525
2012-09-11,7767,6697,1070,111,7767,7767
2012-09-12,7870,6820,1050,110,7870,7870
2012-09-13,7804,6750,1054,109,7804,7804
2012-09-14,8009,6630,1379,108,8009,8009
2012-09-15,8714,5554,3160,107,8714,8714
2012-09-16,7333,5167,2166,106,7333,7333
2012-09-17,6869,5847,1022,105,6869,6869
2012-09-18,4073,3702,371,104,4073,4073
2012-09-19,7591,6803,788,103,7591,7591
2012-09-20,7720,6781,939,102,7720,7720
2012-09-21,8167,6917,1250,101,8167,8167
2012-09-22,8395,5883,2512,100,8395,8395
2012-09-23,7907,5453,2454,99,7907,7907
2012-09-24,7436,6435,1001,98,7436,7436
2012-09-25,7538,6693,845,97,7538,7538
2012-09-26,7733,6946,787,96,7733,7733
2012-09-27,7393,6642,751,95,7393,7393
2012-09-28,7415,6370,1045,94,7415,7415
2012-09-29,8555,5966,2589,93,8555,8555
2012-09-30,6889,4874,2015,92,6889,6889
2012-10-01,6778,6015,763,91,6778,6778
2012-10-02,4639,4324,315,90,4639,4639
2012-10-03,7572,6844,728,89,7572,7572
2012-10-04,7328,6437,891,88,7328,7328
2012-10-05,8156,6640,1516,87,8156,8156
2012-10-06,7965,4934,3031,86,7965,7965
2012-10-07,3510,2729,781,85,3510,3510
2012-10-08,5478,4604,874,84,5478,5478
2012-10-09,6392,5791,601,83,6392,6392
2012-10-10,7691,6911,780,82,7691,7691
2012-10-11,7570,6736,834,81,7570,7570
2012-10-12,7282,6222,1060,80,7282,7282
2012-10-13,7109,4857,2252,79,7109,7109
2012-10-14,6639,4559,2080,78,6639,6639
2012-10-15,5875,5115,760,77,5875,5875
2012-10-16,7534,6612,922,76,7534,7534
2012-10-17,7461,6482,979,75,7461,7461
2012-10-18,7509,6501,1008,74,7509,7509
2012-10-19,5424,4671,753,73,5424,5424
2012-10-20,8090,5284,2806,72,8090,8090
2012-10-21,6824,4692,2132,71,6824,6824
2012-10-22,7058,6228,830,70,7058,7058
2012-10-23,7466,6625,841,69,7466,7466
2012-10-24,7693,6898,795,68,7693,7693
2012-10-25,7359,6484,875,67,7359,7359
2012-10-26,7444,6262,1182,66,7444,7444
2012-10-27,7852,5209,2643,65,7852,7852
2012-10-28,4459,3461,998,64,4459,4459
2012-10-29,22,20,2,63,22,22
2012-10-30,1096,1009,87,62,1096,1096
2012-10-31,5566,5147,419,61,5566,5566
2012-11-01,5986,5520,466,60,5986,5986
2012-11-02,5847,5229,618,59,5847,5847
2012-11-03,5138,4109,1029,58,5138,5138
2012-11-04,5107,3906,1201,57,5107,5107
2012-11-05,5259,4881,378,56,5259,5259
2012-11-06,5686,5220,466,55,5686,5686
2012-11-07,5035,4709,326,54,5035,5035
2012-11-08,5315,4975,340,53,5315,5315
2012-11-09,5992,5283,709,52,5992,5992
2012-11-10,6536,4446,2090,51,6536,6536
2012-11-11,6852,4562,2290,50,6852,6852
2012-11-12,6269,5172,1097,49,6269,6269
2012-11-13,4094,3767,327,48,4094,4094
2012-11-14,5495,5122,373,47,5495,5495
2012-11-15,5445,5125,320,46,5445,5445
2012-11-16,5698,5214,484,45,5698,5698
2012-11-17,5629,4316,1313,44,5629,5629
2012-11-18,4669,3747,922,43,4669,4669
2012-11-19,5499,5050,449,42,5499,5499
2012-11-20,5634,5100,534,41,5634,5634
2012-11-21,5146,4531,615,40,5146,5146
2012-11-22,2425,1470,955,39,2425,2425
2012-11-23,3910,2307,1603,38,3910,3910
2012-11-24,2277,1745,532,37,2277,2277
2012-11-25,2424,2115,309,36,2424,2424
2012-11-26,5087,4750,337,35,5087,5087
2012-11-27,3959,3836,123,34,3959,3959
2012-11-28,5260,5062,198,33,5260,5260
2012-11-29,5323,5080,243,32,5323,5323
2012-11-30,5668,5306,362,31,5668,5668
2012-12-01,5191,4240,951,30,5191,5191
2012-12-02,4649,3757,892,29,4649,4649
2012-12-03,6234,5679,555,28,6234,6234
2012-12-04,6606,6055,551,27,6606,6606
2012-12-05,5729,5398,331,26,5729,5729
2012-12-06,5375,5035,340,25,5375,5375
2012-12-07,5008,4659,349,24,5008,5008
2012-12-08,5582,4429,1153,23,5582,5582
2012-12-09,3228,2787,441,22,3228,3228
2012-12-10,5170,4841,329,21,5170,5170
2012-12-11,5501,5219,282,20,5501,5501
2012-12-12,5319,5009,310,19,5319,5319
2012-12-13,5532,5107,425,18,5532,5532
2012-12-14,5611,5182,429,17,5611,5611
2012-12-15,5047,4280,767,16,5047,5047
2012-12-16,3786,3248,538,15,3786,3786
2012-12-17,4585,4373,212,14,4585,4585
2012-12-18,5557,5124,433,13,5557,5557
2012-12-19,5267,4934,333,12,5267,5267
2012-12-20,4128,3814,314,11,4128,4128
2012-12-21,3623,3402,221,10,3623,3623
2012-12-22,1749,1544,205,9,1749,1749
2012-12-23,1787,1379,408,8,1787,1787
2012-12-24,920,746,174,7,920,920
2012-12-25,1013,573,440,6,1013,1013
2012-12-26,441,432,9,5,441,441
2012-12-27,2114,1867,247,4,2114,2114
2012-12-28,3095,2451,644,3,3095,3095
2012-12-29,1341,1182,159,2,1341,1341
2012-12-30,1796,1432,364,1,1796,1796
2012-12-31,2729,2290,439,0,2729,2729
